"id","keyword","cluster","content_type","target_calculator","primary_url","related_links","backlink_from","search_intent","priority","status","week","scheduled_order","slug","angle"
"228","cost to install a paver patio per square foot","landscaping","Blog","paver-calculator","/tools/landscaping/paver-calculator.html","/tools/landscaping/paver-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/paver-calculator.html | /tools/landscaping/","Commercial","High","Planned","57","228","cost-to-install-a-paver-patio-per-square-foot",""
"229","how much does a retaining wall cost per square foot","landscaping","Blog","retaining-wall-calculator","/tools/landscaping/retaining-wall-calculator.html","/tools/landscaping/retaining-wall-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/retaining-wall-calculator.html | /tools/landscaping/","Commercial","High","Planned","58","229","how-much-does-a-retaining-wall-cost-per-square-foot",""
"230","cost to install a french drain per foot","landscaping","Blog","drainage-calculator","/tools/landscaping/drainage-calculator.html","/tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/gravel-calculator.html | /tools/landscaping/","/tools/landscaping/drainage-calculator.html | /tools/landscaping/","Commercial","Medium","Planned","58","230","cost-to-install-a-french-drain-per-foot",""
"231","how much does a pergola cost per square foot","decking","Blog","deck-calculator","/tools/decking/deck-calculator.html","/tools/decking/deck-calculator.html | /tools/decking/deck-beam-calculator.html | /tools/decking/deck-joist-calculator.html | /tools/decking/","/tools/decking/deck-calculator.html | /tools/decking/","Commercial","Low","Planned","58","231","how-much-does-a-pergola-cost-per-square-foot",""
"232","landscape curb cost per linear foot","landscaping","Blog","edging-calculator","/tools/landscaping/edging-calculator.html","/tools/landscaping/edging-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/gravel-calculator.html | /tools/landscaping/","/tools/landscaping/edging-calculator.html | /tools/landscaping/","Commercial","Low","Planned","58","232","landscape-curb-cost-per-linear-foot",""
"233","cost to build a stone wall per square foot","landscaping","Blog","retaining-wall-calculator","/tools/landscaping/retaining-wall-calculator.html","/tools/landscaping/retaining-wall-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/retaining-wall-calculator.html | /tools/landscaping/","Commercial","Low","Planned","59","233","cost-to-build-a-stone-wall-per-square-foot",""
"234","average cost to paint exterior trim per linear foot","painting","Blog","exterior-paint-calculator","/tools/painting/exterior-paint-calculator.html","/tools/painting/exterior-paint-calculator.html | /tools/painting/paint-calculator.html | /tools/painting/painting-cost-calculator.html | /tools/painting/","/tools/painting/exterior-paint-calculator.html | /tools/painting/","Commercial","Low","Planned","59","234","average-cost-to-paint-exterior-trim-per-linear-foot",""
"235","how to calculate mulch coverage per yard","landscaping","Blog","mulch-calculator","/tools/landscaping/mulch-calculator.html","/tools/landscaping/mulch-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/mulch-calculator.html | /tools/landscaping/","Informational","Medium","Planned","59","235","how-to-calculate-mulch-coverage-per-yard",""
"236","gravel driveway cost per ton","landscaping","Blog","gravel-calculator","/tools/landscaping/gravel-calculator.html","/tools/landscaping/gravel-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/gravel-calculator.html | /tools/landscaping/","Commercial","Medium","Planned","59","236","gravel-driveway-cost-per-ton",""
"237","how much topsoil do i need for a garden","landscaping","Blog","soil-calculator","/tools/landscaping/soil-calculator.html","/tools/landscaping/soil-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/soil-calculator.html | /tools/landscaping/","Informational","Medium","Planned","60","237","how-much-topsoil-do-i-need-for-a-garden",""
"238","sod cost per pallet installed","landscaping","Blog","sod-calculator","/tools/landscaping/sod-calculator.html","/tools/landscaping/sod-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/sod-calculator.html | /tools/landscaping/","Commercial","Medium","Planned","60","238","sod-cost-per-pallet-installed",""
"239","paver patio cost calculator","landscaping","Blog","paver-calculator","/tools/landscaping/paver-calculator.html","/tools/landscaping/paver-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/paver-calculator.html | /tools/landscaping/","Commercial","Medium","Planned","60","239","paver-patio-cost-calculator",""
"240","retaining wall block calculator cost","landscaping","Blog","retaining-wall-calculator","/tools/landscaping/retaining-wall-calculator.html","/tools/landscaping/retaining-wall-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/retaining-wall-calculator.html | /tools/landscaping/","Commercial","Medium","Planned","60","240","retaining-wall-block-calculator-cost",""
"241","landscape rock vs mulch cost","landscaping","Blog","rock-calculator","/tools/landscaping/rock-calculator.html","/tools/landscaping/rock-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/rock-calculator.html | /tools/landscaping/","Commercial","Low","Planned","61","241","landscape-rock-vs-mulch-cost",""
"242","how many cubic yards of soil for raised bed","landscaping","Blog","soil-calculator","/tools/landscaping/soil-calculator.html","/tools/landscaping/soil-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/soil-calculator.html | /tools/landscaping/","Informational","Low","Planned","61","242","how-many-cubic-yards-of-soil-for-raised-bed",""
"243","river rock calculator for flower bed","landscaping","Blog","rock-calculator","/tools/landscaping/rock-calculator.html","/tools/landscaping/rock-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/rock-calculator.html | /tools/landscaping/","Informational","Low","Planned","61","243","river-rock-calculator-for-flower-bed",""
"244","how much sand under a paver patio","landscaping","Blog","sand-calculator","/tools/landscaping/sand-calculator.html","/tools/landscaping/sand-calculator.html | /tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/","/tools/landscaping/sand-calculator.html | /tools/landscaping/","Informational","Low","Planned","61","244","how-much-sand-under-a-paver-patio",""
